Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs               DRUG REACTION DISEASE MEDICATION:Antihistamines (Cetirizine, Diphenhydramine), Corticosteroids (Prednisone) Timing: Antihistamines can be taken once or twice daily as needed. Corticosteroids should be taken in the morning..
Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type                  MALARIA DISEASE MEDICATION : Chloroquine, Artemether-lumefantrine, Primaquine Timing: Dosage varies depending on the drug, usually taken with food at specified intervals (e.g., twice daily)..
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens              ALLERGY DISEASE MEDICATION: Antihistamines (Loratadine, Cetirizine) Timing: Once daily, typically in the morning or evening."
Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone                     HYPOTHYROIDISM DISEASE MEDICATION: Levothyroxine Timing: Taken daily, 30 minutes before breakfast.."
Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family                                             PSORIASIS DISEASE MEDICATION: Topical corticosteroids (Betamethasone), Calcipotriene, Systemic treatments (Methotrexate) Timing: Topicals are applied once or twice daily, systemic treatments as prescribed."
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by                          GERD GERD DISEASE MEDICATION  : Proton pump inhibitors (Omeprazole, Pantoprazole) Timing: Once daily before breakfast."
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases                     CHRONIC CHOLESTASIS MEDICATION : Ursodeoxycholic acid Timing: Typically twice daily."
hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function                                   HEPATITIS A MEDICATION: Supportive care, no specific antiviral Timing: Based on symptoms.
Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time                     OSTEOARTHRITIS MEDICATION : NSAIDs (Ibuprofen, Naproxen), Acetaminophen Timing: As needed, usually 2-3 times daily with food."
(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness                                        (VERTIGO) PAROXYSMAL POSITIONAL VERTIGO MEDICATION: Meclizine, Dimenhydrinate Timing: As needed, typically before travel or when experiencing symptoms.
Hypoglycemia, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes                             HYPOGLYCEMIA MEDICATION  :  Glucose tablets, Dextrose Timing: Immediately when symptoms occur. 
Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents                                                             ACNE MEDICATION : Benzoyl peroxide, Topical retinoids (Tretinoin) Timing: Once daily, typically in the evening."
Diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy                             DIABETES MEDICATION : Metformin, Insulin Timing: Metformin with meals, insulin as prescribed (often before meals)."
Impetigo,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts                                                       IMPETIGO MEDICATION : Topical antibiotics (Mupirocin) Timing: Applied 3 times daily."
Hypertension,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms                                                        HYPERTENSION MEDICATION : ACE inhibitors (Lisinopril), Beta-blockers (Metoprolol) Timing: Once or twice daily, often in the morning."
Peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer                                                                 PEPTIC ULCER DISEASE MEDICATION : Proton pump inhibitors (Omeprazole), H2 blockers (Ranitidine)Timing: Once daily before breakfast."
Dimorphic hemorrhoids(piles),"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease                                                       DIMORPHIC HEMORRHOIDS (PILES) MEDICATION : Topical ointments (Hydrocortisone), Oral pain relievers (Ibuprofen) Timing: Ointments applied twice daily, pain relievers as needed."
Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold                                                      COMMON COLD MEDICATION :  Decongestants (Pseudoephedrine), Antihistamines (Diphenhydramine) Timing: As needed, typically every 4-6 hours."
Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters                                      CHICKENPOX MEDICATION: Antihistamines (Diphenhydramine), Antivirals (Acyclovir)Timing: Antihistamines as needed, antivirals within 24 hours of rash onset."
Cervical spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)                                               CERVICAL SPONDYLOSIS  MEDICATION: NSAIDs (Ibuprofen), Muscle relaxants (Cyclobenzaprine)Timing: NSAIDs 2-3 times daily, muscle relaxants as prescribed."
Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat                                             HYPERTHYROIDISM MEDICATION : Methimazole, Propylthiouracil (PTU)Timing: Typically 2-3 times daily."
Urinary tract infection,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating                                      URINARY TRACT INFECTION MEDICATION : Antibiotics (Ciprofloxacin, Amoxicillin) Timing: Depending on the antibiotic, usually twice daily."
Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs                                                                          VARICOSE VEINS MEDICATION  : Compression therapy, NSAIDs for pain relief.Timing: As needed."
AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease                                    AIDS MEDICATION :  Antiretrovirals (Tenofovir, Emtricitabine) Timing: Once daily, as prescribed.."
Paralysis (brain hemorrhage),"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body                                                    PARALYSIS (BRAIN HEMORRHAGE) MEDICATION : Depends on the underlying cause, often anticoagulants.Timing: As prescribed."
Typhoid,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe                                                                  TYPHOID MEDICATION: Antibiotics (Ciprofloxacin, Ceftriaxone) Timing: Depending on the antibiotic, usually twice daily."
Hepatitis B,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus                                                           HEPATITIS B MEDICATION :  Antivirals (Tenofovir, Entecavir) Timing: Once daily."
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi                                          FUNGAL INFECTION  MEDICATION: Antifungals (Fluconazole, Clotrimazole)Timing: As prescribed, often once daily."
Hepatitis C,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer                                                   HEPATITIS C MEDICATION : Antivirals (Sofosbuvir, Ribavirin) Timing: Once daily, as prescribed."
Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities                  MIGRAINE MEDICATION : Triptans (Sumatriptan), NSAIDs (Ibuprofen) Timing: At the onset of symptoms."
Bronchial Asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working                          BRONCHIAL ASTHMA MEDICATION : Inhaled corticosteroids (Fluticasone), Bronchodilators (Albuterol) Timing: As needed, usually twice daily for steroids."
Alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol                                                          ALCOHOLIC HEPATITIS MEDICATION  : Corticosteroids (Prednisolone) Timing: Once daily in the morning"
Jaundice,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it                                        JAUNDICE MEDICATION : Based on underlying cause, supportive care.Timing: As prescribed."
Hepatitis E,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease                                                 HEPATITIS E MEDICATION :  Supportive care, often no specific antiviral.Timing: Based on symptoms.
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever                                                       DENGUE MEDICATION: Supportive care, Paracetamol for fever.Timing: As needed for fever."
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)                                                      HEPATITIS D MEDICATION:  Interferon-alpha Timing: As prescribed, usually weekly."
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle                                                                                 HEART ATTACK MEDICATION: Aspirin, Nitroglycerin, Beta-blockers (Metoprolol) Timing: Immediately upon symptoms and as prescribed thereafter."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe                                                                                       PNEUMONIA  MEDICATION : Antibiotics (Azithromycin, Amoxicillin) Timing: Depending on the antibiotic, usually once or twice daily."
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis                                                                                                    ARTHRITIS  MEDICATION  : NSAIDs (Ibuprofen), DMARDs (Methotrexate) Timing: NSAIDs as needed, DMARDs as prescribed."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting                                                 GASTROENTERITIS MEDICATION  : Oral rehydration salts (ORS), Antiemetics (Ondansetron) Timing: ORS as needed, Antiemetics as prescribed."
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis                                                                   TUBERCULOSIS MEDICATION:  Isoniazid, Rifampin, Pyrazinamide, Ethambutol Timing: Usually daily, as part of a combination therapy."
